index,x,y
564,2182,843.6184210526316
565,2296,844.6973684210526
566,2395,842.421052631579
567,2513,844.5921052631579
568,2590,843.3552631578947
569,2603,843.828947368421
570,2720,841.7236842105264
571,2799,887.5263157894736
572,2839,875.0131578947369
573,2930,846.3552631578947
574,3005,842.5263157894736
575,3127,846.6447368421053
576,3202,844.8421052631579
577,166,882.6578947368421
578,958,881.3421052631579
579,1041,880.421052631579
580,1175,882.5921052631579
581,1379,918.2368421052631
582,1419,917.3157894736842
583,1652,883.0263157894736
584,1859,885.671052631579
585,1968,880.2763157894736
586,2076,885.4868421052631
587,2182,880.7368421052631
588,2297,884.3026315789474
589,2389,880.828947368421
590,2513,884.1578947368421
591,2603,881.6842105263158
592,2720,881.0
593,2799,924.3552631578948
594,2839,912.8947368421052
595,2930,885.078947368421
596,3004,879.7105263157895
597,3127,884.6184210526316
598,3202,881.6842105263158
599,166,920.9736842105264
600,959,919.7763157894736
601,1042,919.0131578947369
602,1175,922.6184210526316
603,1379,955.8421052631579
604,1419,955.2236842105264
605,1457,918.5263157894736
606,1653,921.8947368421053
607,1860,924.0526315789474
608,2077,922.5526315789474
609,2182,919.5
610,2297,922.1842105263158
611,2396,920.1447368421053
612,2514,920.8552631578947
613,2603,920.171052631579
614,2720,919.1973684210526
615,2799,963.4342105263158
616,2840,951.3552631578948
617,2930,923.8815789473684
618,3128,924.5131578947369
619,3202,918.4736842105264
620,166,958.6578947368421
621,958,958.0131578947369
622,1042,957.5131578947369
623,1176,959.3026315789474
624,1379,994.828947368421
625,1419,993.0131578947369
626,1654,959.7631578947369
627,1763,955.6973684210526
628,1861,960.8947368421052
629,2078,959.75
630,2183,957.6447368421053
631,2297,959.3026315789474
632,2397,958.3684210526316
633,2514,957.7631578947369
634,2604,958.1052631578948
635,2799,1000.0394736842105
636,2840,988.9473684210526
637,2931,960.6315789473684
638,2941,956.0131578947369
639,3128,962.1842105263158
640,3202,958.578947368421
641,3642,956.3421052631579
642,166,997.1973684210526
643,959,996.9605263157895
644,1042,994.6315789473684
645,1176,997.5
646,1379,1032.6315789473683
647,1419,1031.842105263158
648,1458,993.7105263157895
649,1654,998.328947368421
650,1861,998.5394736842105
651,2078,1000.1842105263158
652,2183,995.4868421052631
653,2298,997.6973684210526
654,2399,995.0394736842105
655,2514,995.578947368421
656,2604,995.6052631578947
657,2785,993.9736842105264
658,2799,1039.828947368421
659,2839,1027.1447368421052
660,2931,998.5
661,3129,998.4342105263158
662,3203,996.8815789473684
663,3642,993.828947368421
664,166,1035.157894736842
665,847,1031.75
666,959,1032.8157894736842
667,1044,1032.1973684210527
668,1176,1033.5657894736842
669,1379,1073.7894736842106
670,1419,1069.6447368421052
671,1654,1035.5657894736842
672,1763,1032.25
673,1861,1037.592105263158
674,1970,1031.7763157894738
675,2078,1035.407894736842
676,2183,1033.157894736842
677,2298,1036.0263157894738
678,2397,1033.842105263158
679,2515,1033.7105263157894
680,2604,1032.7763157894738
681,2799,1077.592105263158
682,2839,1065.5657894736842
683,2932,1036.9342105263158
684,3130,1036.7368421052631
685,3203,1035.3026315789473
686,3642,1031.7368421052631
687,166,1072.8815789473683
688,960,1071.3026315789473
689,1044,1070.171052631579
690,1165,1069.75
691,1176,1071.7894736842106
692,1379,1112.907894736842
693,1419,1107.8815789473683
694,1654,1074.7105263157894
695,1861,1075.2368421052631
696,1971,1069.9605263157894
697,2078,1072.9868421052631
698,2183,1070.7894736842106
699,2298,1073.3157894736842
700,2398,1072.2105263157894
701,2514,1069.7631578947369
702,2593,1069.7894736842106
703,2604,1071.3552631578948
704,2785,1070.4736842105262
705,2799,1115.9736842105262
706,2840,1103.0263157894738
707,2932,1073.0263157894738
708,2942,1069.907894736842
709,3130,1076.5
710,3203,1071.328947368421
711,3523,1069.9473684210527
712,164,1110.8552631578948
713,960,1109.0263157894738
714,1044,1107.9342105263158
715,1176,1108.7631578947369
716,1379,1150.8684210526317
717,1419,1146.1184210526317
718,1654,1113.0394736842106
719,1861,1112.9868421052631
720,1970,1108.6052631578948
721,2078,1111.6184210526317
722,2183,1109.4605263157894
723,2298,1112.3157894736842
724,2398,1109.657894736842
725,2515,1109.5394736842106
726,2593,1108.3026315789473
727,2604,1109.0657894736842
728,2799,1154.6842105263158
729,2839,1140.75
730,2933,1109.9605263157894
731,3130,1113.8947368421052
732,3204,1111.7763157894738
733,163,1148.8815789473683
734,960,1146.7236842105262
735,1045,1147.8026315789473
736,1177,1146.7105263157894
737,1379,1189.907894736842
738,1419,1183.5131578947369
739,1459,1145.9473684210527
740,1654,1148.671052631579
741,1861,1151.3947368421052
742,1970,1147.578947368421
743,2078,1151.3552631578948
744,2184,1148.157894736842
745,2299,1150.0263157894738
746,2397,1147.1842105263158
747,2516,1147.2894736842106
748,2593,1147.8684210526317
749,2604,1146.7763157894738
750,2785,1146.0
751,2799,1192.842105263158
752,2839,1178.921052631579
753,2933,1148.9605263157894
754,3131,1149.9342105263158
755,3204,1147.5
756,164,1186.7368421052631
757,962,1185.6315789473683
758,1044,1184.6973684210527
759,1176,1185.171052631579
760,1379,1225.8947368421052
761,1419,1221.592105263158
762,1654,1187.907894736842
763,1861,1189.671052631579
764,1970,1184.8815789473683
765,2078,1188.7763157894738
766,2184,1184.671052631579
767,2298,1186.4605263157894
768,2330,1184.3947368421052
769,2398,1185.4473684210527
770,2516,1185.4473684210527
771,2593,1185.2236842105262
772,2606,1186.8026315789473
773,2785,1184.592105263158
774,2799,1231.2631578947369
775,2839,1217.4868421052631
776,2934,1186.4605263157894
777,3132,1188.6315789473683
778,3204,1186.4736842105262
779,164,1225.2631578947369
780,960,1223.0131578947369
781,1045,1222.907894736842
782,1176,1222.2763157894738
783,1379,1265.328947368421
784,1419,1260.0
785,1655,1226.4868421052631
786,1862,1228.0526315789473
787,1971,1221.8157894736842
788,2079,1225.4342105263158
789,2184,1223.657894736842
790,2299,1226.9736842105262
791,2399,1223.671052631579
792,2516,1223.8684210526317
